principio;accion;indicaciones;presentacion;posologia;duracion;contraindicaciones;observaciones;otros_nombres;;
CLORPROMAZINA ;;;;;;;;;;
CLORFENAMINA;Antihistamínico sedante ;" Tratamiento sintomático de las reacciones alérgicas leves o moderadas (de contacto, 
estacionales, por medicamentos, alimentos, etc.) 
";"Comprimido de 4 mg 
Existe también una solución oral de 2 mg/5 ml
";"Niños de 1 a 2 años: 1 mg/toma, 2 veces/día 
Niños de 2 a 6 años: 1 mg/toma, 4 a 6 veces/día (máx. 6 mg/día) 
Niños de 6 a 12 años: 2 mg/toma, 4 a 6 veces/día (máx. 12 mg/día) 
Niños mayores de 12 años y adultos: 4 mg/toma, 4 a 6 veces/día (máx. 24 mg/día) 
";"Según la evolución clínica; tan corta como sea posible. ";"Administrar con precaución y bajo vigilancia en pacientes con trastornos uretro-prostáticos o glaucoma de ángulo cerrado, en pacientes > 60 años y en niños (riesgo de agitación, excitación). 
Puede provocar: somnolencia (precaución al conducir vehículos o manejar maquinaria 
p e l i g ro s a ) , e f e c t o s a n t i c o l i n é rg i c o s ( s e q u e d a d d e b o c a , v i s i ó n b o r ro s a , e s t re ñ i m i e n t o , taquicardia, desordenes urinarios), cefaleas, temblores, reacciones alérgicas. 
Vigilar la asociación con los medicamentos que deprimen el sistema nervioso central 
(analgésicos opioides, antipsicóticos, sedativos, antidepresivos, etc.). - Evitar el alcohol durante el tratamiento. 
Embarazo: sin contraindicaciones; no tratamientos prolongados. 
Lactancia: sin contraindicaciones; monitorizar la aparición de somnolencia en el niño. 
";"La clorfenamina presenta efectos sedantes menos marcados que la prometazina. 
 La dexclorfeniramina (Polaramine®) tiene las mismas indicaciones: 
• niños de 1 a 2 años: 0,25 mg/toma, 2 a 3 veces/día • niños de 2 a 6 años: 0,5 mg/toma, 2 a 3 veces/día • niños de 6 a 12 años: 1 mg/toma, 3 a 4 veces/día 
• niños mayores de 12 años y adultos: 2 mg/toma, 3 a 4 veces/día 
Conservación: no requiere precauciones particulares respecto a la temperatura 
";;;
CLOROQUINA;Antipalúdico ;"Tratamiento del acceso palúdico por P. vivax, P. ovale y P. malariae 
Tratamiento del acceso palúdico simple por P. falciparum, únicamente en zonas sin 
resistencia a la cloroquina (Centroamérica, Haití, República Dominicana) 
Prevención del paludismo por P. falciparum en sujetos no inmunes, únicamente en zonas 
de resistencia moderada a la cloroquina, siempre en combinación con proguanil 
";"Comprimidos de 100 mg y 150 mg de cloroquina base 
Jarabe de 50 mg de cloroquina base/5 ml 
La dosificación anotada en las etiquetas está expresada unas veces en sales de cloroquina y otras en base, lo que ocasiona frecuentes confusiones. La OMS recomienda expresarse en base en las etiquetas y en la posología. 
100 mg base = aprox. 130 mg sulfato = aprox. 160 mg fosfato o difosfato 150 mg base = aprox. 200 mg sulfato = aprox. 250 mg fosfato o difosfato 
";"Tratamiento del acceso palúdico 
Niños y adultos: dosis total de 25 mg/kg repartidos en 3 días: 
1er y 2º día: 10 mg de cloroquina base/kg/día en una toma 
 
3er día : 
 
5 mg de cloroquina base/kg en una toma 
Prevención del paludismo por P. falciparum en zonas de resistencia moderada a la cloroquina 
Niños: 1,7 mg de cloroquina base/kg/día en una toma (siempre combinada con proguanil) Adultos: 100 mg de cloroquina base/día en una toma (siempre combinada con proguanil) Empezar el tratamiento preventivo 24 horas antes de la salida, continuar durante toda la estancia y hasta 4 semanas después del regreso. 
En zonas con alta prevalencia de resistencia a la cloroquina, ésta debe ser reemplazada por 
otro antipalúdico eficaz utilizable en profilaxis. 
";"No administrar en caso de retinopatía. 
Puede provocar: trastornos digestivos, cefaleas, prurito transitorio (72 horas), reacciones 
alérgicas (urticaria, edema de Quincke), trastornos visuales. 
Si el paciente vomita en la hora siguiente a la toma: 
en los primeros 30 minutos: administrar la misma dosis,  después de 30 minutos: administrar media dosis. 
La dosis terapéutica está próxima a la dosis tóxica. Dosis tóxica: 20 mg base/kg por toma 
en niños y 2 g base por toma en adultos. 
No asociar con coartemetero, quinina, mefloquina, halofantrina. 
No administrar simultáneamente con antiácidos (hidróxido de aluminio, etc), dejar un 
intervalo de 2 horas entre las tomas. 
Embarazo: sin contraindicaciones Lactancia: sin contraindicaciones 
";" En algunos países, se utiliza la cloroquinasola para la profilaxis del paludismo por P. vivax. Existe resistencia de P. vivax a la cloroquina en Indonesia, Papua Nueva Guinea y Birmania. 
Conservación: temperatura inferior a 30°C 
";;;;
CLORANFENICOL;Antibacteriano;"Infecciones severas: meningitis, septicemia, fiebretifoidea, neumopatía, peste, etc.,únicamente si no es posible la vía oral 
";"Polvo para inyección en vial de 1 g, para disolver en agua ppi, para inyección IM o IV (en 
1 a 2 minutos) 
";"Niños de 2 semanas a 1 año: 50 mg/kg/día divididos en 3 a 4 inyecciones 
Niños mayores de 1 año: 50 a 100 mg/kg/día divididos en 3 a 4 inyecciones 
 Adultos: 3 a 4 g/día divididos en 3 a 4 inyecciones 
";"Según la indicación; pasar a la vía oral lo antes posible ";" No administrar a niños prematuros; debe ser evitado en recién nacidos y niños menores de 
2 semanas (en ausencia de alternativa, la posología es de 25 mg/kg/día en 3 inyecciones). 
N o a d m i n i s t r a r e n c a s o d e re a c c i o n e s a l é rg i c a s o i n s u f i c i e n c i a m e d u l a r d u r a n t e u n 
tratamiento previo con cloranfenicol; déficit de G6PD. 
r educir la posología en caso de insuficiencia hepática o renal. 
Puede provocar: 
 trastornos digestivos, 
reacciones alérgicas, déficit dosis-dependiente y reversible del sistema hematopoyético 
(anemia, leucopenia, trombopenia) que impone la suspensión del tratamiento. 
s í n d ro m e g r i s "" e n n i ñ o s p re m a t u ro s y re c i é n n a c i d o s ( v ó m i t o s , h i p o t e r m i a , c o l o r 
ceniciento de la piel y colapso cardiovascular), aplasia medular fatal. 
Embarazo: CONTRAINDICADO, excepto en caso de necesidad vital, si no existe alternativa terapéutica. 
En caso de utilización durante el 3r trimestre, riesgo de ""síndrome gris"" en el recién nacido. 
Lactancia: CONTRAINDICADO 
";"Debido al riesgo de toxicidad hematológica, el uso de cloranfenicol debe reservarse para el 
tratamiento de infecciones severas para las que otros antibióticos menos tóxicos sean ineficaces o estén contraindicados. 
El tratamiento por vía oral es más eficaz que por vía inyectable: las concentraciones 
sanguíneas y tisulares alcanzadas son mayores. 
 Conservación: temperatura inferior a 30°C 
";;;
CODEÍNA;Analgésico opiáceo ;Dolor de intensidad moderada, solo o en asociación con un analgésico no opiáceo ;"Comprimido de 30 mg de fosfato de codeína 
Existe también un jarabe de fosfato de codeína de 1 mg/ml. 
";"[Prescripción bajo control médico]                                                                                    Niños de 6 meses a 12 años: 0,5 a 1 mg/kg cada 4 a 6 horas 
Niños mayores de 12 años y adultos: 30 a 60 mg cada 4 a 6 horas, sin sobrepasar 240 mg/día 
";Según la evolución clínica ;"No administrar en caso de depresión respiratoria aguda o crisis de asma. 
Puede provocar: 
• estreñimiento, nauseas, vómitos, somnolencia, vértigo; 
• raramente: depresión respiratoria, reacciones alérgicas, dependencia, síndrome de abstinencia. 
No asociar con los: 
• otros morfícosagonistas puros como la morfina (aumento del riesgo de depresión respiratoria); 
• morfínicosagonistas /antagonistas como la buprenorfina, nalbufina, pentazocina (acción competitiva). 
Reducir la posología en ancianos y en caso de insuficiencia renal o hepática. 
En caso de depresión respiratoria, tratar con la ventilación asistida y/o la naloxona. 
Embarazo: sin contraindicaciones. Existe un riesgo de síndrome de abstinencia, depresión respiratoria y sedación en el recién nacido en caso de administración prolongada de dosis elevadas al final del 3er trimestre. En este caso, vigilar estrechamente al recién nacido. 
Lactancia: administrar con precaución, en un periodo muy breve (2-3 días), a la menor dosis eficaz posible. Vigilar a la madre y al niño: en caso de somnolencia excesiva, suspender el tratamiento. 
";"Asociar sistemáticamente a un laxante apropiado ( p .e j . lactulosa) si el tratamiento antiálgico se prolongará más de 48 horas. 
La codeína se utiliza también en el tratamiento sintomático a corto de la tos seca, no 
productiva, en adultos: 15 a 30 mg, 3 a 4 veces/día. 
En algunos países, la codeína está incluida en lista de estupefacientes: ajustarse a la 
reglamentación nacional. 
Conservación: temperatura inferior a 30°C -                                                                                                      [Medicamento particularmente sesible a la luz]
";;;
"SULFAMETOXAZOL/TRIMETOPRIMA
";"Combinación de dos antibacterianos; uno de ellos una sulfamida ";"Tratamiento de primera elección de la neumocistosis y de la isosporosis 
Profilaxis de la neumocistosis, toxoplasmosis, isosporosis 
Brucelosis (cuando la doxiciclina está contraindicada) 
";"Comprimidos de 400 mg de SMX + 80 mg de TMP y de 800 mg de SMX + 160 mg de TMP. 
Comprimido pediátrico de 100 mg de SMX + 20 mg de TMP. 
Suspensión oral de 200 mg de SMX + 40 mg de TMP/5 ml. 
";"[Prescripción bajo control médico]                                                                             Tratamiento de la neumocistosis 
-Niños: 100 mg SMX + 20 mg TMP/kg/día divididos en 2 tomas 
-Adultos: 4800 SMX + 960 TMP/día divididos en 3 tomas 
Tratamiento de la isosporosis: 
-Adultos: 3200 mg SMX + 640 mg TMP/día divididos en 2 tomas 
Profilaxis de la neumocistosis, toxoplasmosis, isosporosis: 
-Niños: 50 mg SMX + 10 mg TMP/kg/día en una toma, el tiempo que sea necesario Adultos: 800 mg SMX + 160 mg TMP/día en una toma, el tiempo que sea necesario 
Brucelosis: 
-Niños: 40 mg SMX + 8 mg TMP/kg/día divididos en 2 tomas 
-Adultos: 1600 mg SMX + 320 mg TMP/día divididos en 2 tomas 
";"Neumocistosis: 14 a 21 días según la gravedad. isosporosis: 10 días; brucelosis: 6 semanas ";"No administrar a niños menores de 1 mes. 
No administrar en caso de alergia a las sulfamidas, insuficiencia hepática o renal severas. 
Puede provocar: 
• trastornos digestivos, hepáticos, renales (cristaluria, etc.) y metabólicos (hiperpotasemia); 
neuropatías, reacciones de fotosensibilidad, anemia hemolítica en pacientes con déficit de G6PD, 
• reacciones alérgicas (fiebre, rash cutáneo, etc.) a veces severas (síndrome de Lyell y 
Stevens-Johnson, trastornos hematológicos, etc.). En estos casos interrumpir el tratamiento inmediatamente. 
• en caso de tratamiento prolongado: anemia megaloblástica por déficit de ácido folínico 
(en ese caso administrar folinato de calcio). 
Los efectos secundarios son más frecuentes en pacientes infectados por el VIH. 
En caso de tratamiento prolongado, a ser posible, controlar el recuento sanguíneo. - No asociar con metotrexato o fenitoína. 
Evitar la asociación con medicamentos inductore  de hiperpotasemia: potasio, espironolactona, enalapril, AINE, heparina (incremento del riesgo de hiperpotasemia).                                                                                                                                                                       Vigilar la asociación con zidovudina (incremento de la hematotoxicidad).                                                                                                              Beber abundantemente durante el tratamiento. 
Embarazo: sin contraindicaciones. Sin embargo, evitar la administración durante el último mes del  
embarazo (riesgo de ictericia y anemia hemolítica en el recién nacido). 
Lactancia: debe ser evitado en caso de niños prematuros, ictericia, bajo peso al nacer, niños menores de 
1 mes. En caso de utilización, vigilar la aparición de ictericia en el niño. 
";"Conservación: temperatura inferior a 30°C 
Una vez abierto, el frasco se conserva 20 días a temperatura ambiente o 40 días en el refrigerador (entre 2°C y 8°C). 
";;;
DAPSONA;Antibacteriano del grupo de las sulfonas ;"Profilaxis de la toxoplasmosis y de la neumocistosis. 
Tratamiento de la neumocistosis.               Lepra paucibacilar y multibacilar, en combinación con otros antileprosos.  
";Comprimidos de 25 mg, 50 mg y 100 mg ;"Profilaxis de la neumocistosis únicamente: 
-Niños: 2 mg/kg/día en una toma, sin sobrepasar 100 mg/día 
-Adultos: 100 mg/día en una toma 
Profilaxis de la toxoplasmosis y neumocistosis: 
Niños: 2mg/ kg /día en una toma, sin sobrepasar 25mg/ día (en combinación con 1 mg/kg/día de pirimetamina + 10 mg/semana de ácido folínico) 
-Adultos: 
• 50 mg/día en una toma (en combinación con 50 mg/semana de pirimetamina + 25 a 30 mg/semana de ácido folínico) 
• o 200 mg/semana en una toma (en combinación con 75 mg/semana de pirimetamina + 25 a 30 mg/semana de ácido folínico) 
Tratamiento de la neumocistosis (en combinación con 15 mg/kg/día de trimetoprima) 
-Niños: 2 mg/kg/día en una toma, sin sobrepasar 100 mg/día 
-Adultos: 100 mg/día en una toma 
Lepra paucibacilar y multibacilar 
-Niños menores de 10 años: 25 mg/día en una toma 
-Niños de 10 a 14 años: 50 mg/día en una toma 
-Adultos: 100 mg/día en una toma 
";"Profilaxis de la toxoplasmosis y de la neumocistosis: el tiempo que sea necesario; tratamiento de 
la neumocistosis: 21 días; lepra paucibacilar: 6 meses; lepra multibacilar: 12 meses 
";"No administrar en caso de alergia a las sulfonas o anemia severa (tratar primero la anemia). 
Administrar con precaución en caso de insuficiencia hepática o renal. 
Puede provocar: anemia hemolítica dosis-dependiente y en pacientes con déficit de G6PD; neutropenia, metahemoglobinemia, prurito, rash cutáneo, trastornos digestivos, neuropatías periféricas, agranulocitosis, reacciones de hipersensibilidad durante el 1er mes de tratamiento (fiebre, ictericia, hepatitis, adenopatía, dermatitis exfoliativa, etc.) que imponen la suspensión del tratamiento con dapsona para siempre. 
A ser posible, controlar el recuento sanguíneo y las transaminasas. 
No administrar simultánemente con didanosina, dejar un intervalo de 2 horas entre las 
tomas. 
Vigilar la asociación con zidovudina (incremento de la toxicidad hematológica). 
Embarazo: sin contraindicaciones                                                                                                                                                                                         Lactancia: sin contraindicaciones 
";"En el tratamiento de la lepra, la dapsona debe siempre utilizarse asociada a la rifampicina 
(leprapaucibacilar) orifampicina + clofazimina (lepramultibacilar) para prevenir la aparición de resistencias. 
Conservación: temperatura inferior a 25°C -                                                                                                               [Medicamento particularmente sesible a la luz y a la humedad]
";;;
DESOGESTREL;Contraceptivo hormonal, microprogestágeno ;Contracepción oral ;Comprimido 75 µg (0,075 mg), lámina de 28 comprimidos ;"1 comprimido cada día a la misma hora, sin interrupción, incluso durante la regla 
Empezar: 
-el primer día de la regla 
-o inmediatamente después de un aborto 
-o después de un parto: a partir del día 21 postparto, si la mujer no da el pecho 
";Mientras se desee contracepción, si no hay efectos indeseables. ;"No administrar en caso de cáncer de mama, enfermedad hepática grave o reciente, sangrado vaginal inexplicado, enfermedad tromboembólica evolutiva. 
Puede provocar: oligo-amenorrea, irregularidad menstrual, náuseas, aumento de peso, 
tensión mamaria, trastornos del humor, acné, cefaleas. 
Los inductores enzimáticos (rifampicina, rifabutina, nevirapina, nelfinavir, ritonavir,  fenobarbital, fenitoína, carbamazepina, griseofulvina, etc.) reducen la eficacia anticonceptiva. Utilizar un dispositivo intrauterino a base de cobre o preservativos o la medroxiprogesterona inyectable. 
Embarazo: CONTRAINDICADO 
Lactancia: se recomienda esperar a 6 semanas después del parto para empezar con desogestrel. Sin embargo, si es el único contraceptivo disponible o aceptable, puede iniciarse a las 3 semanas del parto. 
";"El desogestrel es una alternativa en caso de contraindicación o de intolerancia a los Estroprogestágenos; se prefiere al levonorgestrel puesto que su eficacia contraceptiva es similar a la de los estroprogestágenos. 
En caso de olvido de un comprimido, tomarlo lo más pronto posible y luego seguir el 
tratamiento normalmente. Si el retraso es superior a 12 horas, el efecto contraceptivo disminuye y se recomienda tomar medidas suplementarias: preservativos durante 7 días y, si ha habido una relación sexual en los 5 días anteriores al olvido, contracepción de urgencia. 
Conservación: temperatura inferior a 30°C 
";;;
DIAZEPAM        [Para la administración IV de diazepam, debe haber material de ventilación al alcance de la mano];Ansiolítico, sedante, anticonvulsivante, relajante muscular ;"Convulsiones. 
Tétanos .
Agitación, en el curso de crisis de ansiedad o de confusionales (delirium tremens), si no es posible la vía oral. 
";"[Prescripción bajo control médico]                            Comprimido de 15 mgs. Existen también comprimidos de 2 mg y 10 mg y solución oral al 1%. Ampolla de 10 mg (5 mg/ml, 2 ml) para inyección IM, IV muy lenta o perfusión. 
La solución inyectable puede también utilizarse por vía rectal u oral.. 
Para administración rectal o IV: diluir 2 ml (10 mg) de diazepam en 8 ml de glucosa al 5% o de cloruro de sodio al 0,9%. 
Para administración rectal: utilizar una jeringa sin aguja, o mejor, adaptar una sonda nasogástrica nº8 cortada (dejando 2 a 3 cm de largo) sobre la boca de una jeringa. 
";"Convulsiones: 
-Niños: 0,5 mg/kg por vía rectal o 0,3 mg/kg por vía IV lenta, sin sobrepasar 10 mg 
-Adultos: 10 mg por vía rectal o IV lenta 
Si las convulsiones no cesan al cabo de 5 minutos; repetir la misma dosis una vez. 
Tétanos: 
La dosis varía según la gravedad. A título indicativo: 
-Niños y adultos: 0,1 a 0,3 mg/kg por inyección IV lenta; repetir cada 1 a 4 horas, bajo estricta vigilancia médica. 
Agitación, delirium tremens: 
-Adultos: 5 a 10 mg por vía IM; repetir al cabo de una hora si es necesario. 
";;"No administrar en caso de insuficiencia respiratoria o hepática severas. 
Puede provocar: 
• dolor local durante la inyección IM o IV, 
• hipotensión, depresión respiratoria, especialmente en caso de inyección IV demasiado 
rápida o cuando se administra dosis muy elevadas (tétanos), 
• en caso de sobredosificación: hipotonía, letargia, depresión respiratoria, coma. 
Reducir la posología a la mitad en ancianos o en caso de insuficiencia hepática o renal. 
Riesgo de potenciar los efectos sedantes en caso de asociación con el alcohol o con medic amentos que actúan sobre el sistema nervioso central; analgésicos opiáceos, neurolépticos (clorpromazina, haloperidol, etc.), antihistamínicos (clorfenamina, prometazina), antidepresivos (clomipramina, fluoxetina, etc.), fenobarbital, etc. 
Embarazo: a ser posible, debe ser evitado, excepto en caso de riesgo vital 
Lactancia: debe ser evitado 
";"El diazepam está sometido a controles internacionales: ajustarse a la reglamentación nacional. 
La solución diluida es normalmente turbia. 
No mezclar con otros medicamentos en la misma jeringa o perfusión. 
Conservación: temperatura inferior a 30°C 
[Medicamento particulamente sensible a la luz] ";;;
DIDANOSINA;Antiretroviral, inhibidor nucleosídico de la transcriptasa inversa del VIH-1 y VIH-2 ;"Infección por el VIH-1 o el VIH-2, en combinación con otros antiretrovirales 
";"Comprimidos tamponados de 25 mg, 50 mg, 100 mg, 150 mg y 200 mg, a masticar o 
dispersar en al menos 30 ml de agua (15 ml en niños menores de 1 año). 
Cápsulas gastrorresistentes de 125 mg, 250 mg y 400 mg a tomar con al menos 100 ml de 
agua. 

";"[Prescripción bajo control médico]                                                                                              Niños menores de 3 meses: 100 mg/m2/día divididos en 2 tomas 
Niños de 3 meses a 12 años (> 5 kg): 240 mg/m2/día en 1 o 2 tomas 
Adultos de menos de 60 kg: 250 mg/día en 1 o 2 tomas 
Adultos de 60 kg o más: 400 mg/día en 1 o 2 tomas 
";según la eficacia y la tolerancia de la didanosina. ;"Administrar con precaución en caso de antecedentes de pancreatitis o afectación hepática. 
Puede provocar: 
• neuropatías periféricas, trastornos digestivos (náuseas, vómitos, diarrea, etc.) y más 
raramente, oftálmicos (especialmente en niños); 
• acidosis láctica, afectaciones hepáticas y pancreáticas severas (en eses casos, suspender el tratamiento antirretroviral; tras la resolución de los síntomas, reanudar un tratamiento antirretroviral sin didanosina). 
No asociar con tenofovir; evitar la asociación con estavudina. - Reducir la posología en caso de insuficiencia renal. 
No administrar simultáneamente los comprimidos de didanosina con tetraciclinas, quinolonas y medicamentos cuya absorción depende de la acidez gástrica (itraconazol, dapsona, etc.). Dejar un intervalo de 2 horas entre las tomas. Esta precaución no rige en el caso de las cápsulas gastrorresistentes de didanosina. 
En caso de combinación de la didanosina (comprimidos) con el indinavir, respectar un 
intervalo de una hora entre la toma de los 2 medicamentos (tomar el indinavir primero). 
Embarazo: sin contraindicaciones. No asociar con estavudina. 
";"Tomar 2 horas antes (o al menos 2 horas después) de las comidas. 
Comprimidos: para asegurar una cantidad suficiente de antiácido, administrar al menos 
2 comprimidos por toma. 
Existe un polvo para solución oral, en frasco de 2g y 4g, para reconstituir con una suspensión de hidróxido de aluminio y magnesio. 
Conservación: comprimidos: temperatura inferior a 30ºC; cápsulas: temperatura inferior a 25ºC - [Medicamento particulamente sensible a la humedad]
";;;
DIGOXINA ;Cardiotónico ;"Arritmias supraventriculares (fibrilación y aleteo auriculares, taquicardia paroxística) 
Insuficiencia cardiaca 
";"Comprimidos de 62,5 µg (0,0625 mg) y 250 µg (0,25 mg) 
Existe también una solución oral de 50 µg/ml (0,05 mg/ml). 
";"[Prescripción bajo control médico]                                                                                         -Adultos: 
• dosis de carga: 750 a 1500 µg (0,75 a 1,5 mg) divididos en 3 a  4 tomas espaciadas 6 horas. No sobrepasar 1500 µg durante las primeras 24 horas. 
• dosis de mantenimiento: 125 a 250 µg/día (0,125 a 0,25 mg/día) en 1 o 2 tomas 
Reducir la posología a la mitad en ancianos y en caso de insuficiencia renal. 
";Según la evolución clínica ;"No administrar en caso de bradicardia, trastornos del ritmo mal identificados, insuficiencia coronaria aguda. 
Es indispensable controlar el pulso al inicio del tratamiento. - La dosis terapéutica está próxima a la dosis tóxica. 
Puede provocar en caso de sobredosificación: trastornos digestivos (náuseas, vómitos, 
diarrea), trastornos visuales, cefaleas, confusión mental, delirio, trastornos del ritmo y de la conducción auriculoventricular. En estos casos, disminuir la posología o suspender el tratamiento. 
No asociar con calcio, especialmente IV (trastornos del ritmo graves). 
Vigilar la asociación con: 
• amiodarona, macrólidos, itraconazol, quinina, cloroquina (aumento de los niveles plasmáticos de digoxina), 
• medicamentos inductores de hipopotasemia: diuréticos, corticoides, amfotericina B 
(aumento de la toxicidad de la digoxina). 
A ser posible, controlar los niveles de potasio en sangre (en caso de asociación con inductores de hipopotasemia) y la creatinina en sangre (en pacientes con insuficiencia renal). 
- No administrar simultáneamente con antiácidos (hidróxido de aluminio, etc.), dejar un 
intervalo de 2 horas entre las tomas. 
- Embarazo: sin contraindicaciones - Lactancia: sin contraindicaciones 
";"En caso de arritmia, si una digitalización rápida es necesaria, se puede administrar la dosis 
de carga. Generalmente no es necesaria en caso de insuficiencia cardiaca. 
- Conservación: temperatura inferior a 30°C - 
[Medicamento particulamente sensible a la luz]";;;
DINITRATO DE ISOSORBIDA ;Vasodilatador antianginoso ;"Prevención y tratamiento de la angina de pecho (crisis de angor). 
Insuficiencia cardiaca izquierda, como complemento de los tratamientos habituales. 
";Comprimido de 5 mg ;"[Prescripción bajo control médico]                                                                                Prevención a corto plazo de la crisis de angina de pecho (vía sublingual): 
-Adultos: 5 a 10 mg en los 10 minutos previos a las circunstancias habituales de crisis (esfuerzo, emoción, etc.) 
Prevención a largo plazo de la crisis de angina de pecho y tratamiento de la insuficiencia cardiaca (vía oral): 
-Adultos: 30 a 120 mg/día divididos en 2 o 3 tomas. Administrar a dosis progresivas hasta alcanzar la dosis eficaz. No interrumpir bruscamente el tratamiento. 
Tratamiento de la angina de pecho (vía sublingual): 
-Adultos: 5 a 10 mg; repetir al cabo de 10 minutos si es necesario 
";Según la evolución clínica ;"No administrar en caso de cardiomiopatía obstructiva, hipotensión, shock. 
Puede provocar: hipotensión ortostática (sobre todo en ancianos), cefaleas, náuseas, sofocos, anemia hemolítica en caso de déficit de G6PD, hipotensión grave con riesgo de colapso cardiovascular en caso de sobredosificación. 
En pacientes tratados con otro derivados nitrado, vasodilatadores o antihipertensivos y en ancianos: utilizar la mínima dosis eficaz. 
En caso de asociación con antihipertensivos, diuréticos, vasodilatadores o alcohol: hipotensión incrementada. 
No asociar con sildenafilo (riesgo de síndrome coronario agudo). 
Embarazo: desaconsejado (inocuidad no establecida)                                                                                                                                                                                               Lactancia: desaconsejado (inocuidad no establecida) 
";"Por vía sublingual, masticar los comprimidos y dejar disolver lentamente debajo de la 
lengua. Por vía oral, ingerir los comprimidos sin masticar. 
Por vía sublingual, la acción del dinitrato de isosorbida es rápida (< 10 minutos) y breve 
(1 a 2 horas). 
Existen comprimidos de dinitrato de isosorbida de liberación prolongada, utilizados en la 
prevención a largo plazo de la crisis de angina de pecho y en la insuficiencia cardiaca, a intervalos variables según las preparaciones. 
Conservación: temperatura inferior a 25°C -                                                                                                     [Medicamento particularmente sesible a la luz y a la humedad]
";;;
